id,name,address
257,  Indriķa Zeberiņa Kuldīgas pamatskola," Jelgavas iela 62, Kuldīga, Kuldīgas novads"
80,  Oskara Kalpaka  Skrindu iela 1(O.Kalpaka Rīgas Tautas daiļamatu pamatskola),
1038,  Rīgas 64. vidusskola," Ūnijas iela 93, Rīga"
1040,  Rīgas Juglas vidusskola," Kvēles iela 64, Rīga"
64,  Rīgas Valdorfa sākumskola, Baltā iela 15
1032,  Rīgas Valsts klasiskā ģimnāzija," Vaidavas iela 6, Rīga"
483,"  Sociālās aprūpes centrs ""Alūksne"""," Ošu iela 5, Alūksne, Alūksnes novads"
985," Aglonas novada pašvaldības iestāde Sociālās aprūpes centrs ""Aglona"""," Salenieku pansionāts, Salenieki, Aglonas pagasts, Preiļu novads"
649, Aglonas vidusskola," Daugavpils iela 6, Aglonas pagasts, Preiļu novads"
350, Aizkraukles novada vidusskola," Draudzības Krastmala 5, Aizkraukle, Aizkraukles novads"
351, Aizkraukles novada vidusskola," Lāčplēša iela 21, Aizkraukle, Aizkraukles novads"
224, Aizkraukles pagasta sākumskola," Kalna iela 6, Aizkraukles pagasts, Aizkraukles novads"
354, Aizkraukles profesionālā vidusskola," Jaunceltnes iela 21, Aizkraukle, Aizkraukles novads"
368, Aizputes pagasta pamatskola," Skola, Rokasbirzīte, Aizputes pagasts, Dienvidkurzemes novads"
256, Aizputes vidusskola," Ziedu iela 7, Aizpute, Dienvidkurzemes novads"
530, Aizupes pamatskola," ""Aizupes skola"", Tušķi, Līvbērzes pagasts, Jelgavas novads"
535, Aknīstes vidusskola," Skolas iela 19, Aknīste, Jēkabpils novads"
582, Aleksandra Bieziņa Raiskuma pamatskola," Dzelmes 5, Raiskums, Raiskuma pagasts, Cēsu novads"
787, Aleksandrovas pamatskola," ""Aleksandrovas Skola"", Aleksandrova, Konstantinovas pagasts, Krāslavas novads"
485, Alekseja Grāvīša Liepnas pamatskola," ""Liepnas pamatskola"", Liepna, Liepnas pagasts, Alūksnes novads"
298, Alfrēda Kalniņa Cēsu Mūzikas vidusskola," Lielā Kalēju iela 4, Cēsis, Cēsu novads"
305, Alfrēda Kalniņa Cēsu Mūzikas vidusskola," Raunas iela 12-2, Cēsis, Cēsu novads"
311, Allažu pamatskola," Skolas iela 5, Allaži, Allažu pagasts, Siguldas novads"
901, Alojas Ausekļa vidusskola," Ausekļa iela 1, Aloja, Limbažu novads"
243, Alsungas pamatskola," Skolas iela 11, Alsunga, Kuldīgas novads"
482, Alūksnes novada vidusskola," Kanaviņu iela 14, Alūksne, Alūksnes novads"
481, Alūksnes pilsētas sākumskola," Lielā Ezera iela 26, Alūksne, Alūksnes novads"
286, Amatas pamatskola," Lielā iela 10, Ieriķi, Drabešu pagasts, Cēsu novads"
458, Ances pamatskola," ""Skola"", Ance, Ances pagasts, Ventspils novads"
661, Andreja Eglīša Ļaudonas vidusskola," Skolas iela 2, Ļaudona, Ļaudonas pagasts, Madonas novads"
988, Andreja Pumpura Rīgas 11. pamatskola," Maskavas iela 178, Rīga"
989, Andreja Pumpura Rīgas 11. pamatskola," Maskavas iela 197, Rīga"
169, Andreja Upīša Skrīveru vidusskola," Stacijas laukums 1, Skrīveri, Skrīveru pagasts, Aizkraukles novads"
786, Andrupenes pamatskola," Skolas iela 6, Andrupene, Andrupenes pagasts, Krāslavas novads"
461, Annahites pamatskola," ""Annahites pamatskola"", Stikli, Puzes pagasts, Ventspils novads"
227, Annas Brigaderes pamatskola," ""Annas Brigaderes skola"", Kroņauce, Tērvetes pagasts, Dobeles novads"
631, Antūžu pamatskola," Mežmalas, Variešu pagasts, Jēkabpils novads"
476, Ata Kronvalda Durbes pamatskola," Skolas iela 5A, Durbe, Dienvidkurzemes novads"
231, Auces vidusskola," Jura Mātera 11, Auce, Dobeles novads"
232, Auces vidusskola," Jura Mātera iela 13, Auce, Dobeles novads"
228, Augstkalnes pamatskola," ""Ezerpils"", Augstkalnes pagasts, Dobeles novads"
229, Augstkalnes pamatskola," ""Internāts"", Augstkalnes pagasts, Dobeles novads"
713," Augšdaugavas novada pašvaldības Sociālā atbalsta un aprūpes centrs ""Avots"" struktūrvienības Ģimeniskai videi pietuvinātā pakalpojuma centrs ""Kamoliņš"""," Daugavas iela 2, Krauja, Naujenas pagasts, Augšdaugavas novads"
623, Augšlīgatnes Jaunā sākumskola," Upes iela 2, Augšlīgatne, Līgatnes pagasts, Cēsu novads"
613, Austrumlatvijas Tehnoloģiju vidusskola," Atbrīvošanas aleja 90, Rēzekne"
135, Babītes vidusskola," Jūrmalas iela 17, Piņķi, Babītes pagasts, Mārupes novads"
390, Baldones sākumskola," Daugavas iela 23, Baldone, Ķekavas novads"
119, Baldones vidusskola," Iecavas iela 2, Baldone, Ķekavas novads"
247, Baložu vidusskola," Skolas iela 6, Baloži, Ķekavas novads"
689, Baltinavas vidusskola," Kārsavas iela 22, Baltinava, Baltinavas pagasts, Balvu novads"
319, Balvu Valsts ģimnāzija," Dārza iela 2, Balvi, Balvu novads"
326," Balvu novada pašvaldības ""Pansionāts ""Balvi"""""," Pansionāta apbraucamā iela 1, Celmene,  Kubulu pagasts, Balvu novads"
327, Balvu profesionālā un vispārizglītojošā vidusskola," Vidzemes iela 26, Balvi, Balvu novads"
325, Balvu sākumsskola," Partizānu iela 16, Balvi, Balvu novads"
627, Barkavas Pansionāts," Brīvības iela 9, Barkava, Barkavas pagasts, Madonas novads"
583, Barkavas pamatskola," Skolas iela 1, Barkava, Barkavas pagasts, Madonas novads"
900, Baumaņu Kārļa Viļķenes pamatskola," Briežu Gatve 6A, Viļķene, Viļķenes pagasts, Limbažu novads"
610, Bauskas 2. vidusskola," Dārza iela 9, Bauska, Bauskas novads"
138, Bauskas Valsts ģimnāzija," Uzvaras iela 10, Bauska, Bauskas novads"
137, Bauskas pilsētas pamatskola," Rīgas iela 32, Bauska, Bauskas novads"
883, Bebrenes vispārizglītojošā un profesionālā vidusskola,"  ""Bebrenes muiža"", Bebrene, Bebrenes pagasts, Augšdaugavas novads"
885, Bebrenes vispārizglītojošā un profesionālā vidusskola," PIN ""Tehnikums"", Bebrene, Bebrenes pagasts, Augšdaugavas novads"
218, Bebru pamatskola," Vecbebri, Bebru pagasts, Aizkraukles novads"
267, Bejas pamatskola," ""Bejas Skola"", Jaunalūksnes pagasts, Alūksnes novads"
704, Berģu Mūzikas un mākslas pamatskola," Skolas iela 8, Upesciems, Garkalnes pagasts, Ropažu novads"
148, Bikstu pamatskola," Alejas, Bikstu pagasts, Dobeles novads"
624, Bilskas pamatskola," ""Bilskas Pamatskola"", Bilska, Bilskas pagasts, Smiltenes novads"
544, Birzgales pamatskola," Skolas iela 1, Birzgale, Birzgales pagasts, Ogres novads"
417, Biržu pamatskola," Podvāzes iela 1, Birži, Salas pagasts, Jēkabpils novads"
888, Biķernieku pamatskola," Skolas iela 1, Biķernieki, Biķernieku pagasts, Augšdaugavas novads"
626, Blomes pamatskola," Cēsu Iela 13, Blome, Blomes pagasts, Smiltenes novads"
199, Blīdenes pamatskola," Skolas iela 1, Blīdene, Blīdenes pagasts, Saldus novads"
528, Brenguļu sākumskola," ""Avotkalni"", Brenguļi, Brenguļu pagasts, Valmieras novads"
198, Brocēnu vidusskola," Ezera iela 6, Brocēni, Saldus novads"
197, Brocēnu vidusskola," Skolas iela 1, Brocēni, Saldus novads"
635, Brāļu Skrindu Atašienes vidusskola," Ezerzeme, Atašienes pagasts, Jēkabpils novads"
659, Burtnieku Ausekļa pamatskola," ""Burtnieku Ausekļa pamatskola"", Burtnieku pagasts, Valmieras novads"
147, Bēnes pamatskola," Jelgavas iela 27, Bēne, Bēnes pagasts, Dobeles novads"
976," Bērnu atbalsta centrs ""Dzintari"""," Salmu iela 53, Liepāja"
977," Bērnu atbalsta centrs ""Dzintari"""," Viršu iela 9/11, Liepāja"
340," Bērnu un jauniešu centrs ""Sapņi"""," Sapņi, Irlava, Irlavas pagasts, Tukuma novads"
579, Bērzaunes pamatskola," ""Bērzaunes Pamatskola"", Bērzaune, Bērzaunes pagasts, Madonas novads"
320, Bērzpils pamatskola," Dārza iela 12, Bērzpils pagasts, Balvu novads"
445, Bērzupes speciālā pamatskola," Bērzupītes, Annenieku pagasts, Dobeles novads"
377, Carnikavas pamatskola," Nākotnes iela 1, Carnikava, Ādažu novads"
841, Cesvaines sociālā dienesta Sociālās aprūpes nodaļa," Augusta Saulieša iela 14, Cesvaine, Madonas novads"
628, Cesvaines vidusskola," Madonas iela 1, Cesvaine, Madonas novads"
762, Ciblas vidusskola," ""Ciblas vidusskola"", Cibla, Ciblas pagasts, Ludzas novads"
187, Cieceres pamatskola," Kalnsētas 13, Saldus, Saldus novads"
532, Codes pamatskola," ""Virsaiši"", Code, Codes pagasts, Bauskas novads"
618, Cēres pamatskola," Skolas iela 1, Cēre, Cēres pagasts, Tukuma novads"
306, Cēsu 1. pamatskola," Gaujas iela 17, Cēsis, Cēsu novads"
307, Cēsu 2. pamatskola," Gaujas iela 45, Cēsis, Cēsu novads"
934, Cēsu 2. vakara (maiņu) vidusskola," Līgatnes iela 6, Cēsis, Cēsu novads"
899, Cēsu Bērzaines pamatskola - attīstības centrs," Bērzaines iela 34, Cēsis, Cēsu novads"
897, Cēsu Pilsētas vidusskola," Leona Paegles iela 1, Cēsis, Cēsu novads"
575, Cēsu Valsts ģimnāzija," Leona Paegles iela 1, Cēsis, Cēsu novads"
576, Cēsu pilsētas Pastariņu sākumsskola," Raunas iela 7, Cēsis, Cēsu novads"
577, Cēsu pilsētas pansionāts," Kovārņu iela 20, Cēsis, Cēsu novads"
800, Dagdas vidusskola," Mičurina iela 3A, Dagda, Krāslavas novads"
357, Daudzeses pamatskola," Skola Daudzese, Daudzeses pag., Aizkraukles novads"
979," Daudzfunkcionālais sociālo pakalpojumu centrs ""Vecružina"""," Ezera iela 23A, Vecružina, Silmalas pagasts, Rēzeknes novads"
597, Daugavpils 10. vidusskola," Tautas iela 11, Daugavpils"
596, Daugavpils 11. pamatskola," Arhitektu iela 10, Daugavpils"
598, Daugavpils 12. vidusskola," Jelgavas iela 30a, Daugavpils"
594, Daugavpils 12. vidusskola," Kauņas iela 8, Daugavpils"
