id,name,building_id
42182, 112. Kab ,257
27292, 115. telpa ,257
41930, 115. telpā labaratorija ,257
27294, 118. telpa ,257
27296, 126. telpa ,257
27281, 201. telpa ,257
27284, 202. telpa ,257
27279, 204. telpa ,257
27278, 205. telpa ,257
27277, 206. telpa ,257
27272, 207. telpa ,257
27273, 208. telpa ,257
27274, 210. telpa ,257
27287, 212. telpa ,257
27289, 213. telpa ,257
27291, 214. telpa ,257
27298, 301. telpa ,257
27299, 302. telpa ,257
27300, 303. telpa ,257
27301, 304. telpa ,257
27302, 305. telpa ,257
27303, 306. telpa ,257
27304, 307. telpa ,257
27305, 308. telpa ,257
42181, Darbnīcas kab ,257
20690, 015 Ģeogrāfija ,80
20727, 035 keramika ,80
20790, 101 ,80
20793, 102 ,80
20736, 103 ,80
20740, 104 ,80
20763, 108-109 Informātika ,80
20835, 202 ,80
20838, 203 ,80
20796, 204 ,80
21257, 205 ,80
20811, 209-208 Bibliotēka ,80
20821, 212 ,80
20824, 213 ,80
20859, 301 ,80
20863, 302 ,80
20866, 303 ,80
20881, 304 ,80
20878, 305 ,80
20874, 306 ,80
20906, 403 ,80
20890, 405 ,80
20894, 406 ,80
41601, 01.kab. 1.st. ,1038
41600, 02.kab. 1.st. ,1038
41582, 04.kab. 1.st. ,1038
41581, 05.kab. 1.st. ,1038
41579, 06.kab. 1.st. ,1038
41641, 07.kab. 1.st. ,1038
41605, 12.kab. Ķīmija 1.st. ,1038
41604, 14.kab. Ģeogrāfija 1.st. ,1038
41603, 15.kab. Mūzika 1.st. ,1038
41610, 16.kab. Vēsture 2.st. ,1038
41612, 18.kab. Matemātika 2.st. ,1038
41636, 19.kab. Matemātika 2.st. ,1038
41637, 20.kab. Matemātika 2.st. ,1038
41639, 22.kab. Matemātika 2.st. ,1038
41606, 23.kab. Informātika/Serveris 2.st. ,1038
41607, 25.kab. Fizika 2.st. ,1038
41608, 26.kab. Bioloģija 2.st. ,1038
41609, 29.kab. Informātika 2.st. ,1038
41630, 30.kab. Dabas zin. 3.st. ,1038
41631, 31.kab. Latviešu val. 3.st. ,1038
41632, 32.kab. Latviešu val. 3.st. ,1038
41633, 33.kab. Latviešu val. 3.st. ,1038
41634, 34.kab. Latviešu val. 3.st. ,1038
41635, 35.kab. Latviešu val. 3.st. ,1038
41580, 36.kab. Latviešu val. 3.st. ,1038
41640, 37.kab. 3.st. ,1038
41628, 40.kab. Angļu val. 3.st. ,1038
41970, 02.kab. 1.st. ,1040
41969, 03.kab. 1.st. ,1040
41960, 15.kab. 1.st. ,1040
41961, 16.kab. 1.st. ,1040
41962, 17.kab. 1.st. ,1040
41963, 18.kab. 1.st. ,1040
41965, 20.kab. 1.st. ,1040
41958, 22.kab. 2.st. ,1040
41959, 25.kab. 2.st. ,1040
41957, 26.kab. 2.st. ,1040
41956, 28.kab. 2.st. ,1040
41950, 31.kab. 2.st. ,1040
41951, 32.kab. 2.st. ,1040
41952, 33.kab. 2.st. ,1040
41953, 34.kab. 2.st. ,1040
41954, 35.kab. 2.st. ,1040
41955, 36.kab. 2.st. ,1040
41941, 37.kab. 3.st. ,1040
41948, 40.kab. 3.st. ,1040
41946, 42.kab. 3.st. ,1040
41945, 43.kab. 3.st. ,1040
41944, 44.kab. 3.st. ,1040
41943, 45.kab. 3.st. ,1040
41942, 46.kab. 3.st. ,1040
42132, 013. ,1032
38960, 101. ,1032
38961, 102. ,1032
42133, 103 ,1032
38962, 104. ,1032
38941, 114. ,1032
38942, 115. ,1032
38943, 116. ,1032
38959, 201. ,1032
38958, 202. ,1032
42131, 203 ,1032
38957, 204.  ,1032
38956, 206. ,1032
42130, 207 ,1032
42134, 209 ,1032
38945, 211. ,1032
38946, 212. ,1032
38947, 213. ,1032
38948, 215. ,1032
38950, 301. ,1032
38951, 302. ,1032
42135, 303 ,1032
38952, 304. ,1032
38953, 306. ,1032
42129, 308. ,1032
30556, 5. istaba ,483
30565, Koridors pie 15.istabas ,483
30562, Lasītava ,483
30563, Rehabilitācijas kabinets 2.st. ,483
30558, Zāle ,483
30560, Ēdamzāle ,483
32227, 1. gaitenis ,985
32287, 2. stava 17 telpa ,985
32229, 2. stava gaitenis ,985
32285, 2. stāva 16 telpa ,985
32230, 2. stāva 8 telpa ,985
32231, 2. stāva gaitenis 2 ,985
32228, ednīca ,985
28520," 103. kabinets, Sākumskola, 1.stāvs ",649
28521," 104. kabinets, Sākumskola, 1.stāvs ",649
28522," 106. kabinets, Lasītava, 1.stāvs ",649
28524," 111. kabinets, Mājturība, 1.stāvs ",649
28518, 202. kabinets 2. stavs ,649
28501," 203. kabinets, Latviešu valoda, 2.stāvs ",649
28503," 204. kabinets, Sākumskola, 2.stāvs ",649
28505," 206. kabinets, Krievu valoda, 2.stāvs ",649
28507," 207. kabinets, Mūzika, 2.stāvs ",649
28515," 301. kabinets, Angļu valoda, 3.stāvs ",649
28512," 307. kabinets, Ķīmija, 3.stāvs ",649
28509," 309. kabinets, Bioloģija, 3.stāvs ",649
28514," 312. kabinets, Informātika, 3.stāvs ",649
31886," 104. telpa, 1.stāvs J korpuss ",350
